"cause","sex","age","year","region","source","mx_m"
"conflict","f",15,2024,"Gaza Strip","moh",0.009206243585
"conflict","f",20,2024,"Gaza Strip","moh",0.0102042488325
"conflict","f",25,2024,"Gaza Strip","moh",0.0109659587325
"conflict","f",30,2024,"Gaza Strip","moh",0.0171456049
"conflict","f",35,2024,"Gaza Strip","moh",0.01577682025
"conflict","f",40,2024,"Gaza Strip","moh",0.0159622539
"conflict","f",45,2024,"Gaza Strip","moh",0.018013794675
"conflict","f",50,2024,"Gaza Strip","moh",0.01999061
"conflict","f",55,2024,"Gaza Strip","moh",0.02365627325
"conflict","f",60,2024,"Gaza Strip","moh",0.027632095625
"conflict","f",65,2024,"Gaza Strip","moh",0.031644297575
"conflict","f",70,2024,"Gaza Strip","moh",0.034094115575
"conflict","f",75,2024,"Gaza Strip","moh",0.054662416375
"conflict","f",80,2024,"Gaza Strip","moh",0.0527914326
"conflict","m",0,2024,"Gaza Strip","moh",0.0112777244775
"conflict","m",1,2024,"Gaza Strip","moh",0.0098772482225
"conflict","m",5,2024,"Gaza Strip","moh",0.0112971993125
"conflict","m",10,2024,"Gaza Strip","moh",0.013771250425
"conflict","m",15,2024,"Gaza Strip","moh",0.023413179475
"conflict","m",20,2024,"Gaza Strip","moh",0.0300808945
"conflict","m",25,2024,"Gaza Strip","moh",0.03422045365
"conflict","m",30,2024,"Gaza Strip","moh",0.036579756
"conflict","m",35,2024,"Gaza Strip","moh",0.0359152521
"conflict","m",40,2024,"Gaza Strip","moh",0.0321417583
"conflict","m",45,2024,"Gaza Strip","moh",0.019412122925
"conflict","m",50,2024,"Gaza Strip","moh",0.020972750575
"conflict","m",55,2024,"Gaza Strip","moh",0.020644601425
"conflict","m",60,2024,"Gaza Strip","moh",0.044048953175
"conflict","m",65,2024,"Gaza Strip","moh",0.05336462935
"conflict","m",70,2024,"Gaza Strip","moh",0.060275734975
"conflict","m",75,2024,"Gaza Strip","moh",0.0805817816
"conflict","m",80,2024,"Gaza Strip","moh",0.054380070675
"noconflict","f",0,2024,"Gaza Strip","moh",0.011785681115
"noconflict","f",1,2024,"Gaza Strip","moh",0.00054195402
"noconflict","f",5,2024,"Gaza Strip","moh",0.0002663288
"noconflict","f",10,2024,"Gaza Strip","moh",0.000204184425
"noconflict","f",15,2024,"Gaza Strip","moh",0.00019640184
"noconflict","f",20,2024,"Gaza Strip","moh",0.0003244563
"noconflict","f",25,2024,"Gaza Strip","moh",0.0003066633
"noconflict","f",30,2024,"Gaza Strip","moh",0.0004073426
"noconflict","f",35,2024,"Gaza Strip","moh",0.00079067235
"noconflict","f",40,2024,"Gaza Strip","moh",0.0008696232
"noconflict","f",45,2024,"Gaza Strip","moh",0.001291099775
"noconflict","f",50,2024,"Gaza Strip","moh",0.0025270707
"noconflict","f",55,2024,"Gaza Strip","moh",0.0047075312
"noconflict","f",60,2024,"Gaza Strip","moh",0.0075848123
"noconflict","f",65,2024,"Gaza Strip","moh",0.016120062575
"noconflict","f",70,2024,"Gaza Strip","moh",0.03279957875
"noconflict","f",75,2024,"Gaza Strip","moh",0.043169038775
"noconflict","f",80,2024,"Gaza Strip","moh",0.1414734579
"noconflict","m",0,2024,"Gaza Strip","moh",0.0131737238975
"noconflict","m",1,2024,"Gaza Strip","moh",0.000576297165
"noconflict","m",5,2024,"Gaza Strip","moh",0.000354659355
"noconflict","m",10,2024,"Gaza Strip","moh",0.000352280475
"noconflict","m",15,2024,"Gaza Strip","moh",0.000275469375
"noconflict","m",20,2024,"Gaza Strip","moh",0.000460455475
"noconflict","m",25,2024,"Gaza Strip","moh",0.00077109045
