"year","sex","age","dx","pop","mx"
2023,"m",52,137.38886,6322.96668,0.0217285440447711
2023,"m",53,136.07646,6128.03448,0.0222055636997656
2023,"m",54,133.35567,6018.08399,0.0221591573367191
2023,"m",55,129.51082,5959.56999,0.0217315712739872
2023,"m",56,125.18182,5904.42976,0.0212013395176709
2023,"m",57,120.82406,5811.79189,0.0207894677384947
2023,"m",58,116.67692,5650.71164,0.0206481815801877
2023,"m",59,112.72509,5406.79745,0.0208487725021029
2023,"m",60,108.70558,5084.66039,0.0213791230214296
2023,"m",61,104.3742,4702.75857,0.0221942501292385
2023,"m",62,99.5291,4290.43296,0.0231979152052757
2023,"m",63,94.15242,3878.95448,0.0242726282263565
2023,"m",64,88.42219,3498.43292,0.0252747993235783
2023,"m",65,82.58752,3168.65339,0.0260639173286164
2023,"m",66,76.95195,2900.85344,0.0265273484481863
2023,"m",67,71.73899,2692.45458,0.0266444568955366
2023,"m",68,67.09034,2528.39957,0.026534706300397
2023,"m",69,63.07275,2388.74876,0.0264040953390176
2023,"m",70,59.68399,2246.67629,0.0265654603939404
2023,"m",71,56.84969,2084.66382,0.0272704353836774
2023,"m",72,54.40341,1897.42381,0.0286722500862894
2023,"m",73,52.11513,1693.23479,0.0307784427226421
2023,"m",74,49.65455,1493.62304,0.0332443653252698
2023,"m",75,46.70568,1315.58869,0.0355017342084326
2023,"m",76,42.98632,1171.02789,0.0367081948833857
2023,"m",77,38.38943,1060.19157,0.036209899310933
2023,"m",78,33.03521,971.62607,0.0339999213895115
2023,"m",79,27.22844,891.238,0.0305512556690805
2023,"m",80,21.40417,800.3096,0.0267448622383138
2023,"m",81,15.99638,687.9539,0.0232521103521617
2023,"m",82,11.35085,554.82399,0.020458470081656
2023,"m",83,7.64441,413.11028,0.0185045262006068
2023,"m",84,4.89151,281.87976,0.0173531792420995
2023,"m",85,2.97865,175.53067,0.0169693991369144
2023,"m",86,1.73011,99.84887,0.0173272867284327
2023,"m",87,0.96096,52.01418,0.0184749620199722
2023,"m",88,0.51182,24.92724,0.0205325579566771
2023,"m",89,0.26216,11.04651,0.0237323824447721
2023,"m",90,0.12952,4.55264,0.0284494271455683
2023,"m",91,0.0619,1.75527,0.0352652298506782
2023,"m",92,0.02871,0.6369,0.0450777202072539
2023,"m",93,0.01296,0.21882,0.0592267617219633
2023,"m",94,0.00571,0.07161,0.079737466834241
2023,"m",95,0.00246,0.02246,0.109528049866429
2023,"m",96,0.00104,0.00679,0.153166421207658
2023,"m",97,0.00044,0.00199,0.221105527638191
2023,"m",98,0.00018,0.00057,0.315789473684211
2023,"m",99,7e-05,0.00016,0.4375
2023,"m",100,3e-05,4e-05,0.75
2024,"f",0,78.93669,6512.9413,0.0121199756552389
2024,"f",1,74.67875,6546.18395,0.0114079822031277
2024,"f",2,71.49358,6501.20398,0.0109969753633234
2024,"f",3,69.56294,6359.72421,0.01093804349104
2024,"f",4,68.96542,6123.86927,0.0112617394263872
2024,"f",5,319.61187,28771.52304,0.0111086183917221
2024,"f",6,324.29148,27501.48706,0.0117917798151239
2024,"f",7,329.6716,26513.96368,0.0124338859319128
2024,"f",8,333.70396,25931.3889,0.0128687268270463
2024,"f",9,335.19473,25708.04173,0.0130385166447293
2024,"f",10,333.39781,25747.41387,0.0129487882427083
2024,"f",11,328.36036,25883.50396,0.0126860861074854
2024,"f",12,320.49083,25935.50637,0.0123572227751341
2024,"f",13,310.49519,25783.95662,0.0120421855565471
2024,"f",14,299.16864,25349.03244,0.0118019747186848
2024,"f",15,287.36394,24635.23297,0.0116647543114345
2024,"f",16,275.85757,23687.99549,0.0116454585664057
2024,"f",17,265.23526,22591.3509,0.0117405666077277
2024,"f",18,255.94273,21437.68347,0.0119389172975787
2024,"f",19,248.22175,20321.94822,0.0122144662171568
2024,"f",20,242.2203,19326.27951,0.01253320898493
2024,"f",21,237.97849,18507.66397,0.0128583753403861
2024,"f",22,235.50223,17905.3252,0.0131526362894543
2024,"f",23,234.7497,17519.0193,0.0133997055417366
2024,"f",24,235.66413,17332.88864,0.0135963563197508
2024,"f",25,238.10204,17305.1074,0.0137590616744742
2024,"f",26,241.84767,17382.29719,0.0139134469602288
2024,"f",27,246.36567,17506.08861,0.0140731419501252
2024,"f",28,250.87569,17614.38972,0.0142426558051652
2024,"f",29,254.14327,17648.55893,0.0144002278604172
2024,"f",30,254.68978,17554.20249,0.0145087639353077
2024,"f",31,251.30514,17294.24825,0.0145311398545467
2024,"f",32,243.19919,16848.00215,0.0144348978492978
2024,"f",33,230.80992,16226.13603,0.0142245769154938
2024,"f",34,215.34861,15460.07379,0.0139293390785297
2024,"f",35,198.57597,14600.08864,0.0136010112607097
2024,"f",36,182.24874,13702.3602,0.0133005363557732
2024,"f",37,167.52273,12817.38197,0.0130699647082453
2024,"f",38,155.08695,11986.9538,0.0129379784545428
2024,"f",39,145.13695,11241.30494,0.0129110410912846
2024,"f",40,137.61309,10601.02236,0.0129811149648401
2024,"f",41,132.24179,10070.67974,0.0131313668405863
2024,"f",42,128.64263,9644.95596,0.0133378141417662
2024,"f",43,126.27263,9301.17896,0.0135759811248702
2024,"f",44,124.46342,9005.73259,0.0138204658817212
2024,"f",45,122.50787,8720.15151,0.0140488235622411
2024,"f",46,119.69758,8404.42319,0.0142422123795982
2024,"f",47,115.78046,8040.41824,0.0143998056499111
2024,"f",48,110.91258,7628.82792,0.0145386134230696
2024,"f",49,105.68985,7191.13393,0.0146972439991811
2024,"f",50,100.9857,6761.95309,0.0149343981917508
2024,"f",51,97.45471,6369.83964,0.0152993977097985
2024,"f",52,95.57329,6036.82569,0.0158317127092666
2024,"f",53,95.33959,5768.7083,0.0165270256428116
2024,"f",54,96.30928,5558.76499,0.0173256613965974
2024,"f",55,97.74978,5393.04731,0.0181251478767391
2024,"f",56,98.58146,5251.00251,0.0187738360079359
2024,"f",57,98.01422,5112.91972,0.0191699117857458
2024,"f",58,95.70269,4959.96546,0.0192950315424172
2024,"f",59,91.86332,4776.85345,0.0192309270027951
2024,"f",60,87.25966,4552.82126,0.0191660631983607
2024,"f",61,82.5888,4286.73064,0.0192661510451238
2024,"f",62,78.40955,3987.43906,0.0196641375128627
2024,"f",63,74.89351,3672.63808,0.0203922925070798
2024,"f",64,71.82328,3366.7967,0.0213328235708441
2024,"f",65,68.87546,3089.93897,0.0222902331303974
2024,"f",66,65.62417,2857.55437,0.022965151840663
2024,"f",67,61.91074,2672.32342,0.023167382936007
2024,"f",68,57.90437,2524.76557,0.0229345530880319
2024,"f",69,53.95913,2399.64846,0.0224862645089273
2024,"f",70,50.61384,2274.27265,0.0222549569859181
2024,"f",71,48.23741,2133.10236,0.0226137342982453
2024,"f",72,47.04187,1970.37128,0.0238746222488586
2024,"f",73,47.055,1792.0982,0.0262569316793019
2024,"f",74,48.01444,1616.92668,0.0296948776922897
2024,"f",75,49.51905,1460.48616,0.0339058673448847
2024,"f",76,50.86505,1334.90322,0.0381039233690664
2024,"f",77,51.27605,1241.31593,0.0413078159723609
2024,"f",78,50.04218,1167.9806,0.0428450438303513
2024,"f",79,46.70861,1098.81811,0.0425080453033305
2024,"f",80,41.3049,1010.36473,0.0408811776317647
2024,"f",81,34.34379,887.31421,0.0387053307756674
2024,"f",82,26.73264,728.8868,0.036675983156781
2024,"f",83,19.42662,550.76018,0.0352723757189563
2024,"f",84,13.18067,379.81347,0.0347030082950981
2024,"f",85,8.35843,237.99189,0.0351206505398146
2024,"f",86,4.96683,135.62441,0.0366219473323423
2024,"f",87,2.77414,70.47179,0.0393652552319162
2024,"f",88,1.46174,33.54827,0.0435712482342607
2024,"f",89,0.72943,14.71069,0.0495850296621029
2024,"f",90,0.34612,5.97746,0.0579041934199476
2024,"f",91,0.15682,2.26465,0.0692469034950213
2024,"f",92,0.06813,0.80506,0.0846272327528383
2024,"f",93,0.0285,0.27024,0.105461811722913
2024,"f",94,0.01153,0.0862,0.133758700696056
2024,"f",95,0.00453,0.0263,0.172243346007605
2024,"f",96,0.00173,0.00772,0.224093264248705
2024,"f",97,0.00065,0.0022,0.295454545454545
2024,"f",98,0.00024,0.00061,0.39344262295082
2024,"f",99,9e-05,0.00017,0.529411764705882
2024,"f",100,3e-05,4e-05,0.75
2024,"m",0,97.12228,6749.33685,0.014389899653623
2024,"m",1,89.74616,6781.70993,0.0132335592242
2024,"m",2,84.17048,6734.60304,0.0124982095455473
2024,"m",3,80.57158,6589.70691,0.0122268836991416
2024,"m",4,78.99374,6349.41728,0.0124411007367278
2024,"m",5,350.15013,29858.3226,0.0117270529457003
2024,"m",6,354.69122,28574.47074,0.0124128710283857
2024,"m",7,361.81808,27582.76239,0.0131175433005642
2024,"m",8,369.81408,27006.43529,0.0136935540003288
2024,"m",9,378.61659,26793.50551,0.0141309090689418
2024,"m",10,388.85079,26838.57831,0.0144885017942666
2024,"m",11,401.89392,26964.84334,0.0149043669541304
2024,"m",12,419.29044,26981.65873,0.0155398318611822
2024,"m",13,441.28458,26769.77122,0.0164844359846569
2024,"m",14,467.33193,26255.52142,0.0177993772252419
2024,"m",15,494.94512,25457.59737,0.0194419415472121
2024,"m",16,520.47083,24436.0896,0.021299268357569
2024,"m",17,540.64998,23282.15988,0.0232216419261184
2024,"m",18,552.7806,22090.04917,0.0250239642178216
2024,"m",19,557.02465,20947.5272,0.0265914274597529
2024,"m",20,555.20625,19927.40734,0.027861439299509
2024,"m",21,550.52989,19077.77628,0.0288571310366577
2024,"m",22,546.54012,18430.37239,0.0296543177986215
2024,"m",23,545.56623,17983.35652,0.0303372860007115
2024,"m",24,549.26648,17721.49887,0.0309943579845738
2024,"m",25,558.08638,17607.72056,0.0316955495799849
2024,"m",26,571.83521,17595.62226,0.0324987205084499
2024,"m",27,589.32776,17633.32795,0.0334212442297371
2024,"m",28,608.6142,17665.39988,0.0344523307784867
2024,"m",29,626.53378,17636.8747,0.0355240818261299
2024,"m",30,639.07633,17495.06234,0.0365289541460416
2024,"m",31,642.46951,17201.30596,0.0373500425778137
2024,"m",32,633.63967,16731.03558,0.0378721129944546
2024,"m",33,612.38034,16088.82113,0.0380624742516483
2024,"m",34,580.62463,15299.35494,0.0379509222628703
2024,"m",35,542.15481,14407.46082,0.0376301429359015
2024,"m",36,501.25824,13465.84281,0.037224423830921
2024,"m",37,461.00614,12528.30855,0.0367971572666926
2024,"m",38,423.39609,11643.04388,0.036364725097987
2024,"m",39,389.13028,10850.01797,0.0358644825359676
2024,"m",40,358.18143,10179.82755,0.0351854123501336
2024,"m",41,330.3064,9642.87055,0.0342539494113607
2024,"m",42,305.18146,9237.33369,0.0330378299887963
2024,"m",43,282.72845,8937.67849,0.0316333207013805
2024,"m",44,263.00196,8703.22639,0.0302189036817644
2024,"m",45,246.07901,8485.03584,0.0290015286488171
2024,"m",46,232.03231,8229.74415,0.0281943527977112
2024,"m",47,220.6609,7910.88809,0.0278933158312444
2024,"m",48,211.58762,7526.20425,0.0281134570590481
2024,"m",49,204.23583,7101.46323,0.02875968281258
